 GAL7 GAL10  GAL1   GAL3  GAL83   GAL2  GAL80 GAL11  GAL4
-1.25 -0.34 -0.43 -0.600 -0.090  0.110  0.120 -0.33  0.21
-0.71 -0.60 -0.12 -0.220  0.140 -0.510  0.560 -0.02  0.11
-0.95 -0.63 -0.12 -0.860  0.010 -0.490  0.420 -0.40  0.11
 0.32 -0.25  0.14 -0.400 -0.340  0.850 -0.220 -0.17  0.46
 1.12  0.57  0.01  0.540  0.190  0.100 -0.010  0.35  0.50
 0.69  0.59  0.58  0.160 -0.030 -0.470  0.180  0.48 -0.09
-0.45  0.00  0.16  0.410  0.060 -0.620  0.430  0.00  0.13
-1.03 -1.06 -0.04 -1.430 -0.300 -0.470  0.780  0.77 -0.89
-1.09 -1.09  1.03 -0.760 -0.430 -0.010 -0.090  0.31  0.04
-1.94 -1.32  1.81 -3.180  0.530 -0.400  1.150  0.52  0.10
-1.09 -0.58  0.00 -0.970 -0.010 -0.120  0.410  0.36  0.20
 1.30  0.78  0.03  0.510  0.070  0.770 -0.300 -0.08 -0.25
 1.01  0.32  0.08 -0.170  0.600  0.400 -0.060  0.29  0.07
 0.74  0.40 -0.04  0.000  0.490 -0.430 -0.150 -0.08 -0.13
 0.68 -0.06  0.00 -0.620  0.730 -0.340  0.180 -0.29 -0.42
 0.00  0.64  0.36  0.200  0.310  0.080 -0.070  0.31  0.41
-0.27  1.12 -0.27  0.280 -0.030 -0.470  0.030  0.22  0.82
-0.40  0.83  0.07 -0.380 -0.140 -0.200  0.330  2.14  0.46
-0.22 -0.62  0.00 -0.400  0.440  0.450 -0.220  0.38  0.01
 0.36 -0.40 -0.34 -0.690  0.390  0.160 -0.270  1.18  0.12
-0.56 -0.14 -0.51  0.030  0.080 -0.860 -0.170  0.50 -0.10
 0.03  0.61 -0.42  0.890  0.120  0.100 -0.340  0.42  0.38
-0.07 -1.89 -0.56 -0.940  0.190 -0.740 -0.230  0.16 -0.08
-0.76  0.57 -0.49 -0.300 -0.040 -0.890 -0.230  0.64  0.05
 0.99  0.19 -0.60 -0.960  0.580  1.220  0.160  0.29  0.78
 0.70  0.00  0.00  0.720 -0.600 -0.070  0.040  0.07 -0.07
 0.45  0.31 -0.58  0.520 -0.430  0.140  0.310 -0.05  0.00
-0.40  0.06 -0.49  0.580  0.290  1.110 -0.490 -0.01  0.76
-1.36 -0.74 -1.06 -2.250 -0.790 -1.290 -0.760  0.12 -0.87
-0.45 -0.51 -0.62 -0.840  0.620 -0.400 -0.360 -0.19 -0.53
-0.30 -0.74 -0.17 -0.970  0.260 -1.180 -0.400  0.23  0.27
-0.58 -0.38 -0.89 -0.470  0.150 -0.070 -0.140  0.18 -0.12
-2.84 -0.51  0.65 -0.320 -0.250 -0.450  0.420 -0.53  0.12
-0.30 -0.17 -0.03 -0.940  0.280 -0.430  0.320  0.30  0.14
-0.34 -0.49  0.16 -0.540  0.210 -0.890  0.520 -0.02  0.16
-0.27 -0.12 -0.23 -1.510  0.290 -0.970  0.070  0.04  0.24
 0.08  0.01 -0.12 -0.400  0.540 -0.430 -0.030 -0.40  0.11
 0.16  0.21  1.06  0.380  0.080  0.340  0.290 -0.06  0.10
-0.36 -0.15 -0.25  0.720 -0.600  0.180  0.060 -0.49  0.24
 0.03 -0.27 -0.15  0.010  0.300  0.810  0.250 -0.17  0.23
 0.03 -0.18 -0.20 -0.100  0.830  0.910  0.180  0.07  0.33
 0.59  0.10 -0.34  0.520  0.990  0.960  0.160 -0.07  0.22
-0.18 -0.27 -0.76  0.620  0.880 -0.100  0.110 -0.12  0.15
-0.10 -0.20 -0.64  0.320  0.780 -0.230  0.190 -0.17 -0.07
 0.33 -0.10  0.23  0.030  0.080  0.780  0.190  0.18 -0.06
 1.81  0.34  0.37 -0.200  0.100  0.840 -0.140  0.13 -0.07
 0.75  0.22 -0.10 -0.060  0.260 -0.320  0.060 -0.06 -0.40
 0.17 -0.11  0.02 -0.200 -0.030  0.750 -0.360 -0.19  0.00
-0.03 -0.01  0.23  0.100 -0.060  0.060 -0.170  0.14  0.03
 0.16  0.05  0.55 -0.270  0.070  0.310 -0.140 -0.14 -0.06
 0.04 -0.12 -0.45  0.000 -0.100  0.140 -0.010 -0.09 -0.11
-0.47  0.06 -0.27 -0.450 -0.320 -0.170  0.120  0.59  0.03
-0.64  0.11  0.10 -0.580 -0.220 -0.920  0.260  0.42  0.27
-1.06 -0.58  0.21 -0.970 -0.230 -1.120  0.010  0.47  0.53
-0.76 -0.64 -0.01 -0.490 -0.120 -0.250  0.120  0.47  0.43
-0.54 -0.10  0.14  0.260  0.290 -0.180  0.000  0.32 -0.51
-0.45 -0.34 -0.17 -0.060 -0.200  0.080  0.000  0.07  0.02
-1.25 -0.94 -0.49  1.080 -0.670  0.200 -0.360  0.82  0.05
-1.22 -0.58 -0.20  0.810  0.360 -0.170  0.490  0.12 -0.53
-1.03 -1.18 -0.07  0.550  0.860 -0.420  0.500  0.08 -0.25
-0.38 -0.54 -0.47 -0.290  0.420 -1.120  0.030  0.42 -0.23
 0.50 -0.42 -0.27 -0.140  0.450 -0.760 -0.250  0.16 -0.38
-0.67 -0.25 -0.23  0.250  0.000 -0.560 -0.450  0.01 -0.23
-0.97 -0.25 -0.20 -0.290 -0.250 -0.560 -0.120 -0.05 -0.33
-0.07 -0.32 -0.07 -0.170  0.510  0.330 -0.290  0.06 -0.12
 0.66 -0.45  0.58  0.360  0.260  0.530 -0.320  0.05 -0.20
 1.64 -0.18  0.76 -0.170  0.370 -1.000 -0.560  0.50 -0.23
 1.50 -0.58  0.86 -0.070  0.110 -1.220 -0.560  0.15 -0.08
 1.38 -0.22  0.90 -0.040  0.340 -0.600 -0.940  0.21 -0.04
 1.28 -0.12  0.81  0.720  0.110 -0.670 -1.150  0.24  0.12
-1.25 -0.56  0.15 -0.490  0.320  0.060 -0.250 -0.10 -0.20
-0.67 -0.40  0.10 -0.220  0.080  0.100  0.410 -0.12 -0.10
-0.07  0.68  0.28 -0.140  0.460  0.210  0.540 -0.09 -0.25
-0.54 -0.14  0.11 -0.270  0.060  0.570 -0.200 -0.42 -0.42
-0.76 -0.76 -0.03 -0.230  0.200  0.590 -0.380 -0.55 -0.56
 0.34  0.65  0.48  0.510 -0.150  1.430  0.390 -0.44 -0.74
 0.57  0.79 -0.23  1.200 -0.170  0.850 -0.400 -0.50 -0.76
-0.89 -0.23 -0.09 -0.060  0.040  0.280  0.610  0.06  0.16
 0.26 -0.34  0.46  0.120  0.000  0.420  0.530 -0.13 -0.31
 2.41  0.79  0.81  1.330  0.160  0.700  0.520  0.07 -0.22
 1.44 -0.51  0.93  1.960 -0.450  0.650  0.990  0.15  0.04
 1.14  0.04  0.32  0.160 -0.380 -0.200  0.770  0.18 -0.02
 1.38 -0.20  0.37  1.000 -0.640  0.700  0.700 -0.13  0.24
 2.34  0.39  0.70 -0.040 -0.010  0.320  0.990  0.29  0.15
 0.58 -0.14  0.15  0.400 -0.430  0.430  0.430  0.59 -0.10
-0.34  0.41 -0.04 -1.030 -0.030  1.890  1.240  1.65  0.50
 1.17  0.67  1.43  2.130 -1.180  2.260  1.340  0.77  0.88
-0.96 -0.64 -0.62 -0.200  0.230 -0.030  0.240  0.02 -0.09
-0.20 -0.56 -0.14 -0.170  0.480  0.080  0.600  0.18  0.04
